source,target,follower_count
715901816857358336,1263671043035627526,
715901816857358336,1510380779565633539,
715901816857358336,1582814622603743247,
715901816857358336,1210550137241518080,
715901816857358336,841046476667138048,
715901816857358336,979808157617836032,
715901816857358336,1469312577763037184,
715901816857358336,106640199,
715901816857358336,897569993918992389,
715901816857358336,1566343578812829697,
715901816857358336,1585400804080373760,
715901816857358336,25949952,
715901816857358336,1241714803120504832,
715901816857358336,1316017265494511617,
715901816857358336,1497095154,
715901816857358336,1547015574005366784,
715901816857358336,703372470741405696,
715901816857358336,1585337724612943873,
715901816857358336,1904744648,
715901816857358336,1570287899274530817,
715901816857358336,1469106473640812552,
715901816857358336,1573012349342072832,
715901816857358336,1561206540937347073,
715901816857358336,399506858,
715901816857358336,544700079,
715901816857358336,1380392472325595138,
715901816857358336,1270288739483504640,
715901816857358336,18202113,
715901816857358336,1921697539,
715901816857358336,1432640558833586178,
715901816857358336,1564935812852088833,
715901816857358336,1508219861306163206,
715901816857358336,1571668578130083840,
715901816857358336,2321962242,
715901816857358336,202061963,
715901816857358336,29984999,
715901816857358336,841842289991385088,
715901816857358336,1278665088,
715901816857358336,879088501,
715901816857358336,1431395987948441602,
715901816857358336,582496320,
715901816857358336,156638814,
715901816857358336,1498006338294718474,
715901816857358336,1528203317251391488,
715901816857358336,1132069220,
715901816857358336,483930570,
715901816857358336,2789442902,
715901816857358336,212455053,
715901816857358336,1562697624360144897,
715901816857358336,1584874008658563074,
715901816857358336,829156255784648707,
715901816857358336,1521148423931637761,
715901816857358336,2162674334,
715901816857358336,44855413,
715901816857358336,791145636687216641,
715901816857358336,1153151077350608896,
715901816857358336,1918283838,
715901816857358336,276066532,
715901816857358336,3133656576,
715901816857358336,1584743997037330434,
715901816857358336,1485686918360797185,
715901816857358336,1511895545266253825,
715901816857358336,152623807,
715901816857358336,1501938637612535814,
715901816857358336,154947007,
715901816857358336,1561697108268179458,
715901816857358336,988272630502449152,
715901816857358336,1573041570664026113,
715901816857358336,1065957835522093062,
715901816857358336,767704050255138821,
715901816857358336,1507302334073823254,
715901816857358336,793485720971247616,
715901816857358336,245299843,
715901816857358336,1540624339657445376,
715901816857358336,4656531520,
715901816857358336,146110590,
715901816857358336,4865827630,
715901816857358336,1584446863696138240,
715901816857358336,1565476398159970306,
715901816857358336,1577155551028461568,
715901816857358336,1479385697630887936,
715901816857358336,1114137116252860416,
715901816857358336,263434056,
715901816857358336,1427934117870637065,
715901816857358336,1493628786914430978,
715901816857358336,992901488749006848,
715901816857358336,33678643,
715901816857358336,1077003309356060673,
715901816857358336,1443733807,
715901816857358336,1524038278286090240,
715901816857358336,617219003,
715901816857358336,1272178573512671232,
715901816857358336,1574022345005613057,
715901816857358336,1578123532474662913,
715901816857358336,1580397499679907841,
715901816857358336,1514331486652186626,
715901816857358336,1584218855664226304,
715901816857358336,16891325,
715901816857358336,1149602395,
715901816857358336,1577501571017052160,
715901816857358336,1581712915605979136,
715901816857358336,1467373234672881664,
715901816857358336,711308916,
715901816857358336,1584085235880251394,
715901816857358336,1575856186318282752,
715901816857358336,817828875841454080,
715901816857358336,2268389330,
715901816857358336,1583889619397246976,
715901816857358336,1607594917,
715901816857358336,2755140107,
715901816857358336,20407899,
715901816857358336,1123871776147156998,
715901816857358336,1583901019527839744,
715901816857358336,121898098,
715901816857358336,1454857352260247552,
715901816857358336,1494979800334991361,
715901816857358336,1583862166540767239,
715901816857358336,1570568122175733761,
715901816857358336,1582228903858507776,
715901816857358336,3154698864,
715901816857358336,1583826080397344769,
715901816857358336,1572680163992772609,
715901816857358336,1583799908812951552,
715901816857358336,1583728806715604992,
715901816857358336,1577904550182371329,
715901816857358336,1281741993089961984,
715901816857358336,1583354734269943808,
715901816857358336,1119311247017693184,
715901816857358336,1470495676337426434,
715901816857358336,950179286002135040,
715901816857358336,1317086060053209093,
715901816857358336,1389004741993172996,
715901816857358336,16338795,
715901816857358336,1365536933355659266,
715901816857358336,1568286904604557314,
715901816857358336,1370095268046249988,
715901816857358336,1568027736169484299,
715901816857358336,1057722863044702209,
715901816857358336,271781360,
715901816857358336,4642090396,
715901816857358336,19243325,
715901816857358336,51108626,
715901816857358336,753280884585922561,
715901816857358336,387720178,
715901816857358336,1320707766588231680,
715901816857358336,1579852132911554560,
715901816857358336,1247150721847484416,
715901816857358336,1583002497706528768,
715901816857358336,1576517406561820672,
715901816857358336,26403984,
715901816857358336,1492872546689200131,
715901816857358336,841453048358621185,
715901816857358336,938742883,
715901816857358336,1569321364548644864,
715901816857358336,1547860717096685569,
715901816857358336,15145700,
715901816857358336,273285239,
715901816857358336,1547139154047295499,
715901816857358336,919814118940360704,
715901816857358336,1573858916617814017,
715901816857358336,28581067,
715901816857358336,409472627,
715901816857358336,1091331283483951105,
715901816857358336,2882264269,
715901816857358336,1468021996168433665,
715901816857358336,1582894450447376384,
715901816857358336,874670231829925888,
715901816857358336,1582247819410575362,
715901816857358336,1583076141736546305,
715901816857358336,1497502989568942082,
715901816857358336,2737891694,
715901816857358336,1267623756622684162,
715901816857358336,1506593374589050890,
715901816857358336,1243608295073632256,
715901816857358336,952736046156013569,
715901816857358336,1582893007040233472,
715901816857358336,469704473,
715901816857358336,965799868601167872,
715901816857358336,19723107,
715901816857358336,1124542753885642752,
715901816857358336,1511731722144075778,
715901816857358336,1523645229672407040,
715901816857358336,1550914878,
715901816857358336,514243156,
715901816857358336,1318586754253901826,
715901816857358336,113749334,
715901816857358336,840518187024232450,
715901816857358336,1569733810606206977,
715901816857358336,67115693,
715901816857358336,1503626577850081280,
715901816857358336,21669099,
715901816857358336,1580551448378675208,
715901816857358336,781054611734065152,
715901816857358336,735097140951711744,
715901816857358336,1369459221360705539,
715901816857358336,919303804163633159,
715901816857358336,1573140981192564738,
715901816857358336,621621294,
715901816857358336,57487417,
715901816857358336,1577652619010531328,
715901816857358336,1420751656136757248,
715901816857358336,267956783,
715901816857358336,3193975538,
715901816857358336,601606782,
715901816857358336,1544371116013105154,
715901816857358336,1173231819556147200,
715901816857358336,1243745921336295425,
715901816857358336,1581956097786642433,
715901816857358336,1508476955385122817,
715901816857358336,1582336570635567104,
715901816857358336,1564444490810761217,
715901816857358336,1542439720411889665,
715901816857358336,790494340372058112,
715901816857358336,1449759079954468876,
715901816857358336,1199983599602327552,
715901816857358336,1087533085481000962,
715901816857358336,769948735136788480,
715901816857358336,866999586321088514,
715901816857358336,1574193423321600001,
715901816857358336,283090065,
715901816857358336,778825153564192768,
715901816857358336,1559653958058139650,
715901816857358336,1582091532831981570,
715901816857358336,1581728763636768769,
715901816857358336,3430465186,
715901816857358336,2458827456,
715901816857358336,1500241383331930115,
715901816857358336,1581309709113401344,
715901816857358336,17272830,
715901816857358336,1474156648952483843,
715901816857358336,2846432327,
715901816857358336,20222744,
715901816857358336,2187272125,
715901816857358336,1060178184686235648,
715901816857358336,820971373958991872,
715901816857358336,1042040178804752385,
715901816857358336,1244018594712821762,
715901816857358336,1579759950632349702,
715901816857358336,1581884563164479488,
715901816857358336,1391731988759924737,
715901816857358336,1519096123285291008,
715901816857358336,1075853168284758016,
715901816857358336,1329226349022687233,
715901816857358336,1373904430861586436,
715901816857358336,1518807973946036224,
715901816857358336,3379023213,
715901816857358336,37839648,
715901816857358336,1056459883720175616,
715901816857358336,1581680241961238529,
715901816857358336,1328344882046410752,
715901816857358336,1566654067887456258,
715901816857358336,339800844,
715901816857358336,1573106332063907840,
715901816857358336,1501607051201597440,
715901816857358336,1571329099003461632,
715901816857358336,597013263,
715901816857358336,1019620495,
715901816857358336,1579099097331511299,
715901816857358336,1367898878872272899,
715901816857358336,1581114115304873985,
715901816857358336,1455708341200506881,
715901816857358336,1428440566472249353,
715901816857358336,1101361716036800512,
715901816857358336,1037180784,
715901816857358336,806457172448124929,
715901816857358336,1580634979326840832,
715901816857358336,1394121248,
715901816857358336,2496568187,
715901816857358336,1467324879196151808,
715901816857358336,1526273916611592193,
715901816857358336,1570753146548355075,
715901816857358336,1345065148252303366,
715901816857358336,1575874443934433280,
715901816857358336,4705538994,
715901816857358336,221370308,
715901816857358336,878954484193480706,
715901816857358336,2254476036,
715901816857358336,968098980,
715901816857358336,1577638864910680066,
715901816857358336,905688027049017345,
715901816857358336,1313290518332354560,
715901816857358336,24677898,
715901816857358336,1093836069727100928,
715901816857358336,1309355742458032128,
715901816857358336,1552790074089144320,
715901816857358336,1580923025490432000,
715901816857358336,871286125549068288,
715901816857358336,1468636211573305344,
715901816857358336,1166061492833259521,
715901816857358336,896431504619917312,
715901816857358336,1489677399419756545,
715901816857358336,1450779609482424323,
715901816857358336,1180339542,
715901816857358336,1580757588454436871,
715901816857358336,1417876437839880197,
715901816857358336,1578759445101907969,
715901816857358336,1579944978993893377,
715901816857358336,12381572,
715901816857358336,40345541,
715901816857358336,1448110292,
715901816857358336,2349128279,
715901816857358336,820719467974062080,
715901816857358336,3396544647,
715901816857358336,915611651860160512,
715901816857358336,843837573281865729,
715901816857358336,3319528500,
715901816857358336,85596428,
715901816857358336,1579514163004571649,
715901816857358336,279104016,
715901816857358336,66950543,
715901816857358336,738818643820171265,
715901816857358336,2502536640,
715901816857358336,1578582151896961025,
715901816857358336,775711217423753216,
715901816857358336,1156615417256767488,
715901816857358336,1580458781443764224,
715901816857358336,1577205190125654018,
715901816857358336,1361200824882356224,
715901816857358336,1579063563481747457,
715901816857358336,2360463809,
715901816857358336,903625213954318340,
715901816857358336,69319218,
715901816857358336,1563277974,
715901816857358336,1342166263049691137,
715901816857358336,1497107559869825067,
715901816857358336,1580275696110342156,
715901816857358336,74042143,
715901816857358336,1260514195,
715901816857358336,935236456163012613,
715901816857358336,817385712,
715901816857358336,940553591139467264,
715901816857358336,1411162599417331713,
715901816857358336,1394213306529828866,
715901816857358336,1107477153900359680,
715901816857358336,940924670169280512,
715901816857358336,1534278611020267520,
715901816857358336,150477504,
715901816857358336,1567195948316598275,
715901816857358336,1580160041767813124,
715901816857358336,871956768,
715901816857358336,152866783,
715901816857358336,1236569067818897411,
715901816857358336,843049857761841152,
715901816857358336,116776271,
715901816857358336,1579882030539673601,
715901816857358336,108234245,
715901816857358336,1572760835445133313,
715901816857358336,1518333486192463872,
715901816857358336,1573345441328107522,
715901816857358336,1573126670101270529,
715901816857358336,1541492776868761600,
715901816857358336,453684539,
715901816857358336,458724024,
715901816857358336,2987944868,
715901816857358336,1325524789293953030,
715901816857358336,167346371,
715901816857358336,1482336309733736449,
715901816857358336,231582201,
715901816857358336,1565699798744723457,
715901816857358336,1434549230887133185,
715901816857358336,1546981169593401344,
715901816857358336,712970831849136128,
715901816857358336,1579267523161182208,
715901816857358336,138509720,
715901816857358336,1445362637785624578,
715901816857358336,1113644153961713670,
715901816857358336,2894851812,
715901816857358336,1577301981567361024,
715901816857358336,1566105104356462593,
715901816857358336,298944209,
715901816857358336,1549947329297391617,
715901816857358336,1470511124,
715901816857358336,1543961011220205568,
715901816857358336,1548978581048623105,
715901816857358336,1551987617029398529,
715901816857358336,1578915787322056704,
715901816857358336,1573341287847165953,
715901816857358336,1343060624,
715901816857358336,1578809789538344962,
715901816857358336,1529085225275359234,
715901816857358336,1578803811430592513,
715901816857358336,1578759406359035906,
715901816857358336,1412186917379080193,
715901816857358336,1543915068919652359,
715901816857358336,139910743,
715901816857358336,224796075,
715901816857358336,1409037842169298951,
715901816857358336,1578087882396520453,
715901816857358336,1479940062792097800,
715901816857358336,1570656112789147653,
715901816857358336,523235593,
715901816857358336,1464300833986785282,
715901816857358336,267416950,
