,Id,degree,group
229,7.70816E+17,14,4
230,8.36954E+17,14,4
231,2262723403,14,4
232,232864606,14,4
233,9.6419E+17,14,0
234,1.15419E+18,14,0
235,9.70413E+17,14,0
236,28803986,14,4
237,59476911,14,3
238,2439127994,14,3
239,7.31892E+17,14,0
240,1.03766E+18,14,0
241,1.20426E+18,14,4
242,1.17795E+18,14,4
243,490900538,14,3
244,7.29724E+17,14,0
245,1.16217E+18,14,4
246,1.27311E+18,14,4
247,1.16754E+18,14,0
248,8.74085E+17,14,4
249,328756439,14,0
250,1.26026E+18,14,4
251,478407982,14,0
252,47467930,14,4
253,2852378032,14,0
254,1.28897E+18,14,3
255,558818756,14,0
256,14552545,14,4
257,9.97166E+17,14,0
258,8.24796E+17,14,4
259,777070140,14,0
260,41899582,14,3
261,1056179778,14,3
262,23094875,14,0
263,15926892,14,4
264,225189494,14,0
265,55060090,14,0
266,9.22111E+17,14,4
267,232638078,14,4
268,1.11092E+18,14,3
269,1.13926E+18,14,3
270,1.03781E+18,14,4
271,1.21808E+18,14,3
272,1.13022E+18,14,0
273,620244793,14,4
274,2266845013,14,4
275,1.3762E+18,14,3
276,2230411180,14,0
277,54448088,14,3
278,34383891,13,0
279,8.97672E+17,13,3
280,318341192,13,4
281,236093569,13,0
282,8.30462E+17,13,3
283,8.07783E+17,13,0
284,7.1571E+17,13,4
285,21235988,13,4
286,1.26694E+18,13,4
287,1.11802E+18,13,4
288,7.18194E+17,13,4
289,493017583,13,3
290,1.45865E+18,13,3
291,404533869,13,3
292,8.64442E+17,13,4
293,1.16902E+18,13,4
294,2896573098,13,0
295,3751750334,13,3
296,1.0443E+18,13,4
297,8.47492E+17,13,3
298,1.27643E+18,13,4
299,395985838,13,3
300,537476067,13,0
301,7.39844E+17,13,0
302,1.24291E+18,13,3
303,8.093E+17,13,4
304,1370932230,13,3
305,9.04533E+17,13,3
306,1.02102E+18,13,0
307,1431579794,13,4
308,7.65384E+17,13,0
309,228144288,13,0
310,77016242,13,3
311,525595860,13,0
312,23829718,13,0
313,5778702,13,0
314,9.56494E+17,13,1
315,80901413,13,3
316,1.2619E+18,13,3
317,8.19736E+17,13,3
318,1.30665E+18,13,3
319,7.20324E+17,13,4
320,1.28569E+18,13,3
321,1.35851E+18,13,3
322,8.49686E+17,13,3
323,2530596320,13,0
324,1620010466,13,3
325,1.10583E+18,13,0
326,9.65015E+17,13,4
327,9.32069E+17,13,0
328,1.31967E+18,13,4
329,1.2172E+18,13,3
330,61437586,13,1
331,1.26351E+18,13,4
332,9.06952E+17,13,3
333,2383871725,13,0
334,1.08021E+18,13,4
335,58949394,13,3
336,54452056,13,4
337,408696697,13,4
338,2485895035,13,4
339,238682004,13,3
340,33212336,13,0
341,24731615,13,0
342,88582116,13,3
343,1.52627E+18,12,2
344,1.46407E+18,12,3
345,2433796135,12,3
346,2760075323,12,4
347,260599871,12,3
348,9.76463E+17,12,3
349,8.13738E+17,12,0
350,1.06663E+18,12,4
351,2314018987,12,4
352,1.33469E+18,12,3
353,1.12695E+18,12,3
354,9.68832E+17,12,3
355,19540234,12,3
356,1.18683E+18,12,4
357,1.27181E+18,12,4
358,19558732,12,0
359,1510654326,12,4
360,8.24458E+17,12,4
361,7.83709E+17,12,4
362,1.24881E+18,12,3
363,857459108,12,3
364,326398427,12,4
365,179732982,12,0
366,23818747,12,0
367,2371064395,12,3
368,1570740841,12,0
369,345137776,12,3
370,8.99086E+17,12,0
371,2330409604,12,3
372,1612067526,12,0
373,967439072,12,4
374,8.86033E+17,12,0
375,1.04352E+18,12,0
376,1.28362E+18,12,4
377,2425963324,12,4
378,15274836,12,4
379,8.28038E+17,12,0
380,9.49689E+17,12,4
381,9.41755E+17,12,0
382,8.25593E+17,12,4
383,2821916034,12,0
384,1.2062E+18,12,4
385,622019512,12,4
386,9.37899E+17,12,3
387,25785311,12,0
388,2270905347,12,0
389,1.02623E+18,12,0
390,8.61739E+17,12,1
391,7.81678E+17,12,4
392,1.07478E+18,12,3
393,60333117,12,0
394,216767555,12,3
395,1.29908E+18,12,3
396,139564107,12,3
397,1378288759,12,4
398,9.75374E+17,12,3
399,9.57218E+17,12,4
400,9.21449E+17,12,0
401,1.10812E+18,12,4
402,1.30884E+18,12,3
403,459269265,12,0
404,24038579,12,4
405,2811782323,12,4
406,1.24466E+18,12,3
407,1.12764E+18,12,4
408,1.04762E+18,12,4
409,1.30005E+18,12,4
410,7.08895E+17,12,4
411,2578457970,12,3
412,8.38868E+17,12,3
413,9.18539E+17,12,0
414,9.71051E+17,12,3
415,253316481,12,0
416,9.74104E+17,12,0
417,1.2635E+18,12,3
418,111664523,12,0
419,1.20406E+18,12,4
420,1.29501E+18,12,3
421,448437661,12,0
422,8.92276E+17,12,0
423,1.27529E+18,12,4
424,27332027,12,3
425,1.06926E+18,12,3
426,44146186,12,0
427,1355218452,12,0
428,21952044,12,0
429,376358488,12,3
430,9.58124E+17,12,3
431,1.28048E+18,12,3
432,1.3197E+18,12,3
433,25974425,12,0
434,1.13492E+18,12,4
435,32917190,12,4
436,462288600,12,0
437,1.43277E+18,12,0
438,55404283,12,4
439,1.25682E+18,12,1
440,1.00216E+18,12,4
441,1.15053E+18,12,0
442,26642189,12,2
443,1.13127E+18,12,4
444,9.65398E+17,12,4
445,1949789970,12,0
446,260634501,12,0
447,1969346438,12,0
448,1.09723E+18,12,0
449,1.3205E+18,12,3
