,User,Date Created,Number of Likes,Source of Tweet,Tweet,Feeling
325,SuriyaSubraman,2020-04-29 16:19:33+00:00,0,dlvr.it,"Saudi G20 Presidency and the Bank for International Settlements (BIS) Innovation Hub invite ...: The hackathon-style competition is also supported by the Monetary Authority of Singapore (MAS), the FSB, API Exchange (APIX),… https://t.co/HeXtfcMJqe #regtech #cdo #datagovernance",Positive
326,Anders_Quitzau,2020-04-28 07:15:06+00:00,1,Hootsuite Inc.,"Fight Covid-19 via virtual hackathon with IBM, SCDF, Singapore  https://t.co/fQ5yhH9M3X",Negative
327,lfamancio,2020-04-27 13:20:16+00:00,1,Dynamic Signal,"Hackathon #EUvsVirus from @EU_Commission: Six teams across @Axway, @sopraHR, @SopraBanking &amp; @SopraSteria in Germany, France, Italy, India, Norway and Singapore are fighting against #COVID19, focusing on health, social cohesion and business continuity. https://t.co/vNkSp64Jfr https://t.co/FUta8gi7K2",Negative
328,EricHoresnyi,2020-04-26 20:22:33+00:00,3,Dynamic Signal,"Hackathon #EUvsVirus from @EU_Commission: Six teams across @Axway, @sopraHR, @SopraBanking &amp; @SopraSteria in Germany, France, Italy, India, Norway and Singapore are fighting against #COVID19, focusing on health, social cohesion and business continuity. https://t.co/4c6TYAetJO https://t.co/jdtrUblSzr",Negative
329,GuerganaV,2020-04-24 16:31:33+00:00,3,Dynamic Signal,"Hackathon #EUvsVirus from @EU_Commission: Six teams across @Axway, @sopraHR, @SopraBanking &amp; @SopraSteria in Germany, France, Italy, India, Norway and Singapore are fighting against #COVID19, focusing on health, social cohesion and business continuity. https://t.co/3uknTpIb6v https://t.co/9ttkaOE36X",Negative
330,SusanneVogler,2020-04-24 15:38:38+00:00,1,Dynamic Signal,"Hackathon #EUvsVirus from @EU_Commission: Six teams across @Axway, @sopraHR, @SopraBanking &amp; @SopraSteria in Germany, France, Italy, India, Norway and Singapore are fighting against #COVID19, focusing on health, social cohesion and business continuity. https://t.co/zYJu8PcgJE https://t.co/6w4egaBPIw",Negative
331,ruby_raley,2020-04-24 14:31:39+00:00,2,Dynamic Signal,"Hackathon #EUvsVirus from @EU_Commission: Six teams across @Axway, @sopraHR, @SopraBanking &amp; @SopraSteria in Germany, France, Italy, India, Norway and Singapore are fighting against #COVID19, focusing on health, social cohesion and business continuity. https://t.co/7y8YJ4r0KM https://t.co/J7HKS4chKd",Negative
332,pbaudin,2020-04-24 14:14:18+00:00,2,Dynamic Signal,"Hackathon #EUvsVirus from @EU_Commission: Six teams across @Axway, @sopraHR, @SopraBanking &amp; @SopraSteria in Germany, France, Italy, India, Norway and Singapore are fighting against #COVID19, focusing on health, social cohesion and business continuity. https://t.co/khVspH56eL https://t.co/fVHdjJIwww",Negative
333,jay_b_morris,2020-04-24 13:48:39+00:00,3,Dynamic Signal,"In 75 minutes - Hackathon #EUvsVirus from @EU_Commission: 6 teams across @Axway, @sopraHR, @SopraBanking, @SopraSteria in Germany, France, Italy, India, Norway and Singapore. Fighting against #COVID19, focus on health, social cohesion, business continuity. https://t.co/9NYXQRwGp8 https://t.co/YJVVU1ICpM",Negative
334,syncplicity,2020-04-24 13:47:01+00:00,0,Sprout Social,"Hackathon #EUvsVirus from @EU_Commission: Six teams across Axway, @sopraHR, @SopraBanking &amp; @SopraSteria in Germany, France, Italy, India, Norway and Singapore are fighting against #COVID19, focusing on health, social cohesion and business continuity.
▶️ https://t.co/V2gazvC3no https://t.co/6EEWOyvAEa",Neutral
335,Axway,2020-04-24 13:31:01+00:00,4,Sprout Social,"Hackathon #EUvsVirus from @EU_Commission: Six teams across Axway, @sopraHR, @SopraBanking &amp; @SopraSteria in Germany, France, Italy, India, Norway and Singapore are fighting against #COVID19, focusing on health, social cohesion and business continuity.
▶️ https://t.co/KDB2zXCZdH https://t.co/coqgLHVqTj",Neutral
336,axwaydev,2020-04-24 13:16:01+00:00,3,Sprout Social,"Hackathon #EUvsVirus from @EU_Commission: Six teams across Axway, @sopraHR, @SopraBanking &amp; @SopraSteria in Germany, France, Italy, India, Norway and Singapore are fighting against #COVID19, focusing on health, social cohesion and business continuity.
▶️ https://t.co/lG2xOaCLJX https://t.co/4FCQJ9pVIO",Neutral
337,HFuerst,2020-04-24 12:44:17+00:00,5,Dynamic Signal,"Hackathon #EUvsVirus from @EU_Commission: Six teams across @Axway, @sopraHR, @SopraBanking &amp; @SopraSteria in Germany, France, Italy, India, Norway and Singapore are fighting against #COVID19, focusing on health, social cohesion and business continuity. https://t.co/OJzrIZCjyZ https://t.co/lfGg242xa9",Negative
338,SopraSteria,2020-04-24 12:04:10+00:00,19,Twitter for Advertisers.,"Hackathon #EUvsVirus from @EU_Commission: Six teams across Sopra Steria, @SopraBanking, @sopraHR &amp; @Axway in Germany, France, Italy, India, Norway &amp; Singapore are fighting against #COVID19, focusing on health, social cohesion and the business continuity",Negative
339,IDEASHubUWCSEA,2020-04-22 08:21:38+00:00,0,Twitter for Android,"SHEHACKS is back!
 
On May 2-3, students aged 11-18 across Singapore are invited to participate in the all-female hackathon, hosted virtually this year. https://t.co/VLmG77U8GI",Neutral
