,User,Date Created,Number of Likes,Source of Tweet,Tweet,Feeling
396,DevSpaceSG,2019-11-28 01:00:00+00:00,7,TweetDeck,"We are honoured to host YouthHacks - Singapore's largest under 18 hackathon! 180 young coders who came together to meet new friends, build cool things, and solve for problems aligned with the 17 UNDP sustainable development goals. 

More events here → https://t.co/Si6KG3roRN https://t.co/BbpM6bczbB",Positive
397,comit_network,2019-11-27 06:26:08+00:00,9,TweetDeck,"November Dev Update, grab it will it's hot! See you in Singapore y'all for the COMIT Hackathon https://t.co/2Qiyhp0V36",Neutral
398,JavaScript1000,2019-11-26 20:42:37+00:00,0,JavaScript1000,https://t.co/EP1MlkWPjD — UNESCO Hackathon Website at the FOSSASIA Summit Singapore https://t.co/CbHItYtP06 https://t.co/0rw6WBI3s6,Neutral
399,LedgerInsights,2019-11-26 15:16:01+00:00,3,Twitter Web App,".@RollsRoyce ran a #blockchain hackathon in Singapore with SIAengineering

Objective: improve the aircraft engine maintenance workflow

Winner: #Blockaero
Finalists: @dex_sg @Plasma_Pay @SkyRepublicInc @kryha_io
Skills assessment: @Joinindorse

https://t.co/9LX8XQvFX3",Positive
400,girlsintechuwc,2019-11-26 05:28:46+00:00,2,Twitter Web App,"Sign ups are now open for SHEHACKS 2020 Mentors.
It's a great event to get involved in the area of Technology and mentor other students in a field that is up and coming :

Mentor sign ups can be accessed through this form: 
https://t.co/ckaSWJsDrT

#Singapore #Hackathon",Positive
401,MeKanhaiyakumar,2019-11-23 03:59:00+00:00,0,VIC Pro,A video about https://t.co/3eq2wvFyjR PM Narendra Modi's Address | Singapore India Hackathon 2019,Neutral
402,bvbspit,2019-11-22 05:18:09+00:00,0,Twitter Web App,"AI members Ms. Soumya Koppaka and Mr. Suyash Chavan who won 5th Position in Overall Team from India and Singapore at Singapore India Hackathon, 2019 held at IIT Madras on 28th to 30th September 2019. #SPIT #ECELLSPIT #COMPSPIT https://t.co/jHWTHgKrqc",Positive
403,TheBankingScene,2019-11-21 18:30:00+00:00,0,drumup.io,Podcast:RegPac Revolution and F10 Hackathon Singapore https://t.co/PPXbcrapfW #regpacrevolution #singapore #regtech @fintechch #TheBankingScene,Neutral
404,RegTech_FinTech,2019-11-20 17:10:01+00:00,1,drumup.io,"Podcast:RegPac Revolution and F10 Hackathon Singapore https://t.co/bCYILk8eiq #regpacrevolution #singapore #regtech @fintechch #regtech, #FinTech",Neutral
405,KuniSuzaki,2019-11-17 08:33:19+00:00,6,Twitter Web App,"IETF 106 Singapore Hackathon (16-17/Nov/2019)に参加。
TEEP: Trusted Execution Environment Provisioningのチームに参加。
この成果は
https://t.co/dDhTIbTHe5
に公開されています。",Positive
406,murillo,2019-11-16 16:34:20+00:00,9,Twitter for Android,"First impressions of Singapore,  i love it! se you all tomorrow at the ietf hackathon! 
(I know I'm late) https://t.co/kQlu2z7bfD",Positive
407,grisglobal,2019-11-16 08:01:39+00:00,0,IFTTT,"RT ietf: Get set: #IETF106 starts soon! Meeting week (16-22 November 2019) begins with the #IETFHackathon. Here are a few final items to consider before the Hackathon and meeting start, whether you're planning to participate in Singapore or from somewher… https://t.co/Gi1ZRI3ZcV",Neutral
408,suzworldwide,2019-11-16 04:18:52+00:00,5,Twitter Web App,"Have been in Singapore just about 12 hours and already doing hackathon, DNSOP chairs' meeting, hallway chatter....good to be here, peeps! #ietf106",Neutral
409,pEpFoundation,2019-11-16 02:14:57+00:00,3,Twitter Web App,"Internet Engineering [Research] Task Force:

We're in #Singapore at the #hackathon of the #IETF106 -- find us at the Privacy Enhancements and Asessments Research Group (#PEARG) table!🤗

See wiki: https://t.co/EpmHPV8YMh

#Privacy #Security #E2EE #MEDUP
https://t.co/hXLD0hdeoX https://t.co/vXywGWTCK6",Positive
410,csperkins,2019-11-16 01:59:35+00:00,7,Tweetbot for iΟS,"If you’re at #IETF106 in Singapore, come to the hackathon and talk to me or @lumisota about the use of structured languages in protocol specifications https://t.co/5WSj2skySM",Neutral
411,DevSpaceSG,2019-11-15 12:00:00+00:00,4,TweetDeck,"YouthHacks is Singapore’s largest U18 Hackathon, for students, by students! This annual 2 day hackathon is a great way to learn how to build cool things, meet and compete with new people, tackle big problems, and have fun! 

Join YouthHacks here → https://t.co/cQicXbnEOn https://t.co/pUHWSwz1jy",Positive
412,ariscahyadi,2019-11-15 03:56:27+00:00,0,Twitter for Android,@onnowpurbo @puspindes kapan sampai singapore pak? saya akan join IETF hackathon... siapa tahu bisa ketemu lagi.. hehe..,Positive
413,ietf,2019-11-14 23:38:57+00:00,21,Sprout Social,"Get set: #IETF106 starts soon! Meeting week (16-22 November 2019) begins with the #IETFHackathon. Here are a few final items to consider before the Hackathon and meeting start, whether you're planning to participate in Singapore or from somewhere else: 
https://t.co/x2w1SXpYFd https://t.co/KNWkgZO2cL",Neutral
414,shecheyne,2019-11-14 02:44:12+00:00,1,Twitter for iPhone,Pula - one of the Afro-Asia 2019 hackathon winners with a solution that provides micro insurance to farmers emerged winner of the Singapore Festival hackathon 🌟,Positive
415,rmatlock,2019-11-14 02:42:06+00:00,3,Twitter for iPhone,"@PGelsinger pushes the industry to shape #techforgood. VMW Singapore teamed w ASPN, hosted a hackathon w young talent. Result? Social community for people w special needs where best practices and job opportunities can b shared. Small but meaningful progress. We all play a role! https://t.co/xrrFMEBLA3",Positive
416,moz0131,2019-11-14 01:22:08+00:00,1,Twitter for Android,"“We are encouraging innovation and incubation for two big reasons– one is we want easy solutions to solve India’s problems to make life easier,” PM Modi said this at the Singapore India Hackathon 2019 at IIT-Madras on 30.09.2019.",Positive
417,gerryforcomms,2019-11-12 22:25:30+00:00,4,Twitter for iPhone,"If you’re based in Singapore, here’s a #hackathon that combines food and data - how much better can that get?! 😍😍",Positive
418,PBulowski,2019-11-12 03:11:42+00:00,0,LinkedIn,"Singapore data community listen up! 📊
She Loves Data TIBCO and YoRipe is doing a yummy data hackathon next weekend.
It's open to all, we have over 130 registered and have last 20 seats available. So stop pretending you have someth…https://t.co/ir91LBZvdy https://t.co/I2kKf0V24A",Positive
419,hackernoon,2019-11-11 16:40:00+00:00,3,Hacker Noon,"""How We Tried To Fight  Ecommerce Fraud at JunctionX Singapore Hackathon"" by @lcdvirgo https://t.co/7Y3z4Nq63w #ecommerce #hackathon",Negative
420,nkvarnstrom,2019-11-11 01:25:09+00:00,5,Twitter for iPhone,Can’t wait for today’s #Sweden #Singapore #Space #hackathon for the planet in connection with #SFFxSWITCH,Neutral
421,datarepublicans,2019-11-11 00:52:28+00:00,4,Twitter Web App,"Over the weekend Data Republic helped facilitate the HyperHack datathon in Singapore. The event was supported by @StartupX and @Temasek, with over 60 data scientists competing to ideate, hack and design sustainable ideas for the future. #hackathon #sustainability #hyperhack https://t.co/GJK6x2mqsn",Positive
422,ijstokes,2019-11-10 11:01:31+00:00,7,Twitter for iPhone,Excellent weekend in #Singapore at the #HyperHack event sponsored by ⁦@Temasek⁩ with ⁦@BCG⁩ participation from mentors to participants. Here are the final 14 teams. It was a pleasure mentoring the data hackathon teams. https://t.co/lNZKeEbCdG,Positive
423,caemanuelson,2019-11-10 10:22:09+00:00,2,Twitter for iPhone,Hey Singapore 👋🏽 #hackforsweden looking forward to all great solutions coming out from this hackathon!,Positive
424,MeKanhaiyakumar,2019-11-09 06:37:04+00:00,1,VIC Pro,Have a look https://t.co/3eq2wvFyjR PM Narendra Modi's Address | Singapore India Hackathon 2019,Neutral
425,coinsmarketview,2019-11-08 13:13:40+00:00,0,Twitter Web App,"A new event has been added:
#TenX COMIT #Hackathon Dec 6-8th #Singapore @CoBloXLab $PAY #atomicswap #hacking https://t.co/uuJaub3C5w",Negative
426,AimAmarit,2019-11-08 13:09:20+00:00,0,Instagram,#hyperhack Sustainability Hackathon Singapore in full swing! Great to be back in SG as a facilitator for the 3rd year and to promoting the UN SDGs this time!!! #startupx #temasek @ Suntec Singapore Convention &amp;… https://t.co/Mw2zNVhncH,Positive
427,how_to_coin,2019-11-07 11:29:18+00:00,1,HJ's Coin Crawler,"TenX (PAY) news! On 06 December 2019, ""The #hackathon will be held over the weekend of 6-8 Dec at the TenX HQ in Singapore."" #PAY
https://t.co/VXt4My4sfs",Negative
428,Saurya,2019-11-07 10:07:28+00:00,1,Twitter Web App,"@mengwong @visakanv There's a bit of chatter about this space in Singapore recently:
https://t.co/OgLDKG6LdW
""HyperHack, which describes itself ‘the world’s first global sustainability hackcelerator’, will kick off on 8 November with a 3-day hackathon in Singapore.""",Neutral
429,tenxwallet,2019-11-07 06:39:24+00:00,60,Twitter Web App,"COMIT is reaching mainnet readiness! 🎉

Join our research team @CoBloXLab for 48 hours of hacking and fun. 💻🤪

The #hackathon will be held over the weekend of 6-8 Dec at the TenX HQ in Singapore. #Atomicswaps, here we come! 

https://t.co/is0xYiLpSk",Positive
430,wadekwright,2019-11-05 13:05:03+00:00,0,Hootsuite Inc.,"Singapore: A brief intro to HyperHack global sustainability hackcelerator, set for a 3-day hackathon from November 8-10 https://t.co/ZzmrexAJAk #singapore #hackathon #sustainability #startupSG",Neutral
431,Dynam_AI,2019-11-04 17:51:59+00:00,6,HubSpot,"Dr. Michael Zeller, CEO of DynamAI, will join the judging panel for this year's #HyperHack pitch competition in Singapore on November 8th-10th. 

The event is a 3-day hackathon designed to stimulate creative ideas around #sustainability  

https://t.co/818eD2KHBQ by @the_startupx",Positive
432,bemyapp,2019-11-04 10:22:12+00:00,2,Buffer,"The team Co-Create Class (Japan), Connected Desk (Japan), Magic Brush (China), and Project William (Singapore) are selected by the jury to be the winners of #inkathon, congrats!!!  A big thank you to all the members and jury! #hackathon #digitalink #edtech @wacom https://t.co/7HMV6gw3kB",Positive
433,theneilrichards,2019-11-03 12:45:57+00:00,0,TweetDeck,"Check out the thread below for details of a @VizFSG hackathon in Singapore this week, on Wednesday evening in the @tableau office.",Neutral
434,VizFSG,2019-11-03 12:40:53+00:00,5,Twitter for iPhone,"Thank you so much - we’re excited that you are hosting this #VizForSocialGood hackathon! Singapore dataviz people, do check this out for a great way to meet fellow visualisers and help good social causes! 🇸🇬",Positive
435,grandnexus,2019-11-02 06:37:57+00:00,1,Twitter for Android,"#Hack19: International @FlutterDev Hackathon 2019 [Singapore Edition] with @pslove_co, @NodeFlair, @RakutenRapidAPI and @BLOCK71Sg #Flutter https://t.co/dxc0XebkUz",Neutral
436,hxchuaruns,2019-11-02 05:33:39+00:00,14,Twitter Web App,Excited to be hosting the next #VizforSocialGood hackathon with @DataKindSG this coming Wednesday at @tableau #Singapore office! https://t.co/v9f73yyjfk Join us (/the waitlist) if you're interested in putting your data visualization and story-telling skills to good use!,Positive
437,Shelovesdata,2019-11-01 03:15:25+00:00,3,Twitter Web App,"A data hackathon for foodies!  Nov 22-23 at Block 71 (across One North MRT), #Singapore. Free to register: https://t.co/Q7Pfsr40Zk

Analyse anonymised data sets from YoRipe personalised cooking and grocery app. Prizes for the most innovative ideas!

#DataAnalytics #HeLovesDataToo https://t.co/xB8Xl48Dx4",Positive
438,bonomat,2019-11-01 02:59:42+00:00,1,TweetDeck,"Hi @SatoshiLite 
we will hold a hackathon on atomic swaps in Singapore in December. Keen to join? 
Cheers, Philipp
https://t.co/1YiWwDEt0b",Positive
439,Appro92658321,2019-10-31 13:46:39+00:00,0,Twitter Web App,"Ideas abound at the ‘Build On, Singapore 2019’ hackathon
Visit Our Website for more details : https://t.co/EUzg2mlpBi

https://t.co/GPHn9ZD8WY https://t.co/v5tUmnJRhi",Neutral
440,RHblackbook,2019-10-30 16:02:00+00:00,0,drumup.io,Podcast:RegPac Revolution and F10 Hackathon Singapore https://t.co/Fm94M29sEw #regpacrevolution #singapore #regtech @fintechch #regtechblackbook #regtech,Neutral
441,comit_network,2019-10-30 02:32:10+00:00,31,TweetDeck,"First COMIT Hackathon 06.12. till 08.12. in Singapore hosted by @tenxwallet

Join us for a weekend of hacking and fun!
 
https://t.co/WiHPlnqNes",Positive
442,andrewkingme,2019-10-28 19:37:21+00:00,1,TweetDeck,"The votes are in- Congratulations, Team_Young Grasshopperz from @watgdesigns Singapore! #watghackathon #hackathon #x19parametricdesign #parametric #arduino #augmentedreality https://t.co/3Uek1KS7Kp",Positive
443,VIT_univ,2019-10-26 12:16:54+00:00,14,Twitter Web App,"Hearty Congratulations to Abhinav Gupta, Anuj Singh and Priya Ranjan for representing India and VIT in the ‘Singapore India Hackathon’, an initiative by our Hon'ble Prime Minister Narendra Modi! 
Read more..
https://t.co/n7IFIiOwPA
 
#SingaporeIndiaHackathon
#Hackathon
#VIT https://t.co/lTNueIWnvT",Positive
444,grandnexus,2019-10-26 11:58:01+00:00,2,Twitter Web App,The School of AI Global Health Hackathon Singapore 2019 #healthhack #schoolofai #pslove #accenture #hackathons https://t.co/KpUhyKwi7K,Neutral
445,andrewkingme,2019-10-24 23:33:50+00:00,1,Twitter Web App,"Inspired collaboration across the globe! The @watgdesigns x19 Parametric Design Hackathon wrapped this morning. We can't wait to share what our talented colleagues in Irvine, London, Beverly Hills, Singapore, and Honolulu came up with. #watghackathon #parametric https://t.co/OJQkcWDHGd",Positive
446,MarkDurbin104,2019-10-22 03:03:32+00:00,8,TweetDeck,"Three student team developed a blockchain based online voting system and each won a family trip to Singapore #womenintech 

24 Hour #Hexagon #Hexathon #Hackathon @HexagonCCI #SmartCity https://t.co/rYEWhJx5sg",Positive
447,CorpGovUK,2019-10-20 10:51:16+00:00,0,IFTTT,RT @Drebbel_eu: Podcast:RegPac Revolution and F10 Hackathon Singapore https://t.co/4sjI3nPbwB #regpacrevolution #singapore #regtech @fintechch,Neutral
448,Drebbel_eu,2019-10-20 10:12:00+00:00,0,drumup.io,Podcast:RegPac Revolution and F10 Hackathon Singapore https://t.co/Fk5txImdUB #regpacrevolution #singapore #regtech @fintechch,Neutral
449,MarkDurbin104,2019-10-20 09:47:29+00:00,1,Twitter for Android,"Final scores are in, now the top 10 go before the final judges to see which team wins the family trips to Singapore #Hexagon #Hexathon #Hackathon @HexagonCCI",Positive
450,hackernoon,2019-10-19 16:48:01+00:00,1,Hacker Noon,"""How We Tried To Fight  Ecommerce Fraud at JunctionX Singapore Hackathon"" by @lcdvirgo https://t.co/7Y3z4Nq63w #ecommerce #hackathon",Negative
451,skydog811,2019-10-17 16:52:43+00:00,0,Right Relevance,From Qiskit Camp to Qiskit Hackathon @ Singapore https://t.co/1JP4QfNZrz,Neutral
452,bvbspit,2019-10-17 03:46:31+00:00,0,Twitter Web App,"AI members Ms. Soumya Koppaka and Mr. Suyash Chavan who won 5th Position in Overall Team from India and Singapore at Singapore India Hackathon, 2019 held at IIT Madras on 28th to 30th September 2019. https://t.co/FOH1pObfIE",Positive
453,qiskit,2019-10-16 15:09:11+00:00,34,Twitter Web App,"""I decided the best way forward was of course to just tweet to Qiskit and team (who had of course never heard of me) that we should have a hackathon in Singapore. [...] And thus began a wonderful journey..."" @anuragsaharoy describes our Singapore event!💻

https://t.co/XCYx6LZpmt https://t.co/t9JZv8HZKy",Positive
454,sezbee,2019-10-16 15:01:07+00:00,6,Twitter for iPhone,In Singapore next Thursday evening? Come hackathon with us 🚀 #SGTUG @tableau https://t.co/2ZvaI1KiNH,Neutral
455,CapMarketsProf,2019-10-16 14:47:34+00:00,15,Twitter Web App,"Having fun and learning a lot as one of the international judges at #DerivHack2019  at @Barclays in #Singapore, with fellow judges from @dbsbank , @ICMAgroup , @The_DTCC , @ISDA @Regnosis, examining hackathon  teams developing #blockchain solutions on @DAMLdriven and @inside_r3 https://t.co/xnySIAGwmT",Positive
456,ecoupe,2019-10-16 14:06:37+00:00,2,Twitter for iPhone,Nothing like planning a hackathon before 7 am with @BhatiaKishore (who is in Singapore!). #DVHacks NYC edition is 2.5 weeks away! 🚀🗽,Positive
457,digitalassetcom,2019-10-16 00:44:34+00:00,5,HubSpot,An inspiring view for an inspiring event! #DerivHack2019 just kicked off in Singapore and there's only a few more hours to go before the hackathon continues @ThinkRiseLDN &amp; @ThinkRiseNY. Follow regular updates from us on-site from @DAMLdriven. https://t.co/nDzInak58A,Positive
458,ThinkRiseGlobal,2019-10-15 21:10:11+00:00,0,Hootsuite Inc.,"Last chance! Barclays #DerivHack2019 starts tomorrow in #London, #NewYork &amp; #Singapore. Work with peers &amp; thought leaders, in conjunction with @ISDA. 

To find out more about our #hackathon and register a team, visit https://t.co/X2zYeNmeYG

#HomeofFinTech #Innovation #FinTech https://t.co/XYW12goSGj",Positive
459,ThinkRiseGlobal,2019-10-15 14:10:19+00:00,0,Hootsuite Inc.,"LAST CHANCE! Barclays #DerivHack2019 starts tomorrow in #London, #NewYork &amp; #Singapore. Work with peers &amp; thought leaders, in conjunction with @ISDA. 

To find out more about our #hackathon and register a team, visit https://t.co/X2zYeNmeYG

#HomeofFinTech #Innovation #FinTech https://t.co/GnF3frPpOC",Positive
460,BethSendra,2019-10-15 13:56:57+00:00,2,Twitter Web App,"Less than 12 hours until we kickoff #DerivHack2019 in the first location. If you're using #DAML in Singapore, London or NYC come stop by the Digital Asset booth and pick-up a swag bag to keep you going for the two day Hackathon! #maythebestDAMLerswin",Positive
461,ThinkRiseGlobal,2019-10-15 10:05:18+00:00,0,Hootsuite Inc.,"LAST CHANCE! Barclays #DerivHack2019 starts tomorrow in #London, #NewYork &amp; #Singapore. Work with peers &amp; thought leaders, in conjunction with @ISDA. 

To find out more about our #hackathon and register a team, visit https://t.co/X2zYeNmeYG

#HomeofFinTech #Innovation #FinTech https://t.co/GEvbS7HGom",Positive
462,anuragsaharoy,2019-10-15 02:40:36+00:00,27,Twitter Web App,"A quick read on the amazing weekend we had organising @Qiskit #Hackathon @ Singapore with @HuangJunye @quantumlah @veenaiyuri @lizdurst and team.
#QuantumComputing  
 https://t.co/0esHnrTRNF",Positive
463,joost_walgemoed,2019-10-14 12:00:01+00:00,0,drumup.io,Podcast:RegPac Revolution and F10 Hackathon Singapore https://t.co/Drf2H4FBZI #regpacrevolution #singapore #regtech @fintechch,Neutral
464,Fintechsolucion,2019-10-14 06:58:27+00:00,0,Twitter for Android,"More than 45 teams of IT developers gather in London, New York and Singapore on Wednesday to take part in a 32-hour hackathon aiming to improve efficiency in derivatives and securities trading and show how a new standard could slash costs by US$4bn or more a year.",Positive
465,Digivizer,2019-10-14 06:11:59+00:00,3,Twitter Web App,"Last Friday our Digivizer teams in Singapore, Thailand and Indonesia live-covered the @Microsoft AI for Good Hackathon. Well done team Digi #Asia and Microsoft for your every day commitment to inclusive workplaces and accessible technologies!

#aiforgood #digitalinclusion https://t.co/CV54iKpE9H",Positive
466,LetsTalkSG,2019-10-14 01:30:00+00:00,1,TweetDeck,"Today
NASA Space Apps Challenge Pre-Hackathon Workshop

14 Oct 2019
32 Carpenter street
@SGInnovate

#PadangCo @UP_Singapore

#LetsTalkCity #SpaceTech #NASAApps #Pre_Hackathon
#Singapore #SoutheastAsia
https://t.co/Ughfx8luUp https://t.co/v5abYvWSn7",Positive
467,BestSkills9,2019-10-13 02:09:11+00:00,0,WordPress.com,How We Tried To Fight Ecommerce Fraud at JunctionX Singapore Hackathon https://t.co/6MUU6w4jNd,Negative
468,MeKanhaiyakumar,2019-10-13 00:34:10+00:00,0,VIC Pro,A Youtube video you might like https://t.co/3eq2wvFyjR PM Narendra Modi's Address | Singapore India Hackathon 2019,Positive
469,VeAperez,2019-10-12 22:26:27+00:00,0,IFTTT,How We Tried To Fight Ecommerce Fraud at JunctionX Singapore Hackathon https://t.co/ejSBmTHUsh #business #blockchain #oilandgas #entrepreneur https://t.co/DOKTrti87K,Negative
470,Vivek_H_Vadgama,2019-10-12 22:10:05+00:00,0,IFTTT,How We Tried To Fight  Ecommerce Fraud at JunctionX Singapore Hackathon https://t.co/7w6kqPWYaq,Negative
471,evanderburg,2019-10-12 22:06:33+00:00,0,dlvr.it,How We Tried To Fight Ecommerce Fraud at JunctionX Singapore Hackathon https://t.co/PT2I9bCzhe https://t.co/GARQlnBoWg,Negative
472,M157q_News_RSS,2019-10-12 22:01:01+00:00,0,py-feedr-M157q,"How We Tried To Fight  Ecommerce Fraud at JunctionX Singapore Hackathon
https://t.co/so5gbemsVQ
It has been a while since I’ve been to a hackathon. I always love that hackathon as an avenue to build something quickly within the 48-hour time constraint, the opportunity to sharpen",Positive
473,hackernoon,2019-10-12 16:40:01+00:00,0,Hacker Noon,"""How We Tried To Fight  Ecommerce Fraud at JunctionX Singapore Hackathon"" by @lcdvirgo https://t.co/7Y3z4Nq63w #ecommerce #hackathon",Negative
474,netweight_,2019-10-12 16:39:11+00:00,0,Twitter Web Client,How We Tried To Fight  Ecommerce Fraud at JunctionX Singapore Hackathon on @hackernoon https://t.co/LqG4mruOoT #ecommerce #hackathon #fraud via @lcdvirgo,Negative
475,ssabhishek2,2019-10-12 03:04:05+00:00,0,dlvr.it,PM Modi attends Singapore-India Hackathon - Narendra Modi https://t.co/bq6dr0hxGQ https://t.co/Tf4hstYZyC,Neutral
476,hackJunction,2019-10-11 13:54:22+00:00,2,Twitter for iPhone,"#JunctionXSingapore was held for the very first time two weeks ago! An amazing venue overlooking the streets of Singapore and the intriguing themes truly inspired the hackers to create with technology 🤩

Thank you to everyone involved in this great event! 

#JunctionX #hackathon https://t.co/snjRjbTNT4",Positive
477,sutdsg,2019-10-11 10:03:06+00:00,1,TweetDeck,"SUTD student Samson Yu (fifth from left, first picture), together with 2 NTU students and 3 students from India, came in second in the 36-hour Singapore-India Hackathon 2019 held in #IITMadras. https://t.co/MfkSK1OFG1 

#hackathon https://t.co/5BFlvQCnzQ",Neutral
478,takuzoo3868,2019-10-11 08:02:44+00:00,0,Twitter Web Client,Singapore Cybersecurity Hackathon - HackSmith v3.0 https://t.co/LN3GHrdLP0 #Meetup #シンガポール,Neutral
479,comshelf,2019-10-11 07:11:34+00:00,0,Paper.li,PM Modi attends Singapore-India Hackathon https://t.co/aqqjkTw9Fn,Neutral
480,YuriKobaya,2019-10-11 02:07:44+00:00,29,Twitter for iPhone,"Qiskit Hackathon Singapore Begins! Thank you @HuangJunye @anuragsaharoy @Bingmanson and to our awesome coaches @microluciano @knzw16193338, Atsushi Matsuo, Rudy Raymond, Chris Wood. Thanks to @lizdurst for coming to commence this special event! #qiskithackathonsg https://t.co/BWbS1Oc5gK",Positive
481,infoblazesea,2019-10-10 14:46:26+00:00,2,TweetDeck,"NASA Space Apps Challenge Pre-Hackathon Workshop

14 Oct 2019
32 Carpenter street
@SGInnovate

#PadangCo @UP_Singapore

#LetsTalkCity #SpaceTech #NASAApps #Pre_Hackathon
#Singapore #SoutheastAsia
https://t.co/qwlcWN6dfA
#Event_Singapore https://t.co/Q0m0AZ2OaC",Positive
482,LetsTalkSG,2019-10-10 14:45:26+00:00,1,Let's Talk Singapore,"NASA Space Apps Challenge Pre-Hackathon Workshop

14 Oct 2019
32 Carpenter street
@SGInnovate

#PadangCo @UP_Singapore

#LetsTalkCity #SpaceTech #NASAApps #Pre_Hackathon
#Singapore #SoutheastAsia
#Event_Singapore https://t.co/Ughfx8luUp https://t.co/0ezjJ8SfEH",Positive
483,trrohith,2019-10-09 19:11:11+00:00,5,LinkedIn,"I had the privilege to be selected as one of the 60 students from India to participate in the Singapore India Hackathon 2019. 

The teams formed were 3 students from India and 3 from Singapore with the grouping done by AICTE and MHRD with NTU. We also had…https://t.co/015j0JBV9b",Positive
484,pitra,2019-10-09 06:44:30+00:00,0,Twitter for Android,"Di DBS Singapore sudah mulai mengkurasi recruitment dengan teknologi. Nantinya sistem akan memfilter yang layak utk diteruskan ke team HR. 
Untuk talent yg membutuhkan kemampuan teknis, ada program hack2hire, semacam hackathon yg biasa dilakukan startup.  #dbsxtechinasia2019 https://t.co/OyV8cOhexa",Positive
485,ecoangelhsu,2019-10-09 00:45:00+00:00,2,Twitter Web App,The @yalenus #DataScience students in collab w/ @datadrivenlab is hosting the next datacollaboraton (data + collaboration + hackathon) Nov. 2. The theme is #Singapore's haze. Sign up to analyze data that can shed light on drivers + possible solutions! https://t.co/kGZZmNVEOV https://t.co/a0qRTJN6F8,Positive
486,abr_blockchain,2019-10-08 09:30:29+00:00,0,Hootsuite Inc.,"#India has shown its ambition to promote its ecosystem, organizing Singapore-India Hackathon 2019 in collaboration with the Nanyang Technological University of Singapore (@NTUsg)
Read more👉https://t.co/rFAGZlFYWJ
#Asiablockchainreview #ABR #blockchain #hackathon #India #NTU",Positive
487,FintechFor,2019-10-07 18:59:04+00:00,0,GroupTweet,The game-changers from the #F10HackathonSingapore presented their #Hackathon ideas at the F10 #FinTech Meetup in #Singapore this evening. via @F10_accelerator https://t.co/lrd8K6GPGh,Neutral
488,F10Global,2019-10-07 15:20:13+00:00,4,Twitter Web App,The game-changers from the #F10HackathonSingapore presented their #Hackathon ideas at the F10 #FinTech Meetup in #Singapore this evening. https://t.co/S6dR5Tv1Iy,Neutral
489,noblecorpplc,2019-10-07 09:10:55+00:00,6,Twitter Web App,"It was a great experience to host #MaerskDrilling #InnovationDays in #Singapore where approx. 50% of employees took part  in a #hackathon, to explore #innovation in #offshore #drilling. Congrats to Solution Squad and Team Origami that were awarded #seedfunding #SmarterDrilling https://t.co/w0vDpEW9LL",Positive
490,DDPodhigaiTV,2019-10-06 12:46:45+00:00,3,Twitter Web App,"SINGAPORE - INDIA HACKATHON EVENT 2019 | PROGRAMME HELD AT IIT, MADRAS | 06 - 10 - 2019

https://t.co/R3HFbSAbkr",Neutral
491,DDPodhigaiTV,2019-10-06 08:17:55+00:00,4,Twitter Web App,"Singapore - India 
HACKATHON EVENT 2019  (TAMIL TRANSLATION)
Programme held at IIT,Madras Research Park on 30th September 2019  @ 3.00 pm 
Chief Guest :Shri.Narendra Modi , Hon’ble Prime Minister
@PMOIndia @narendramodi https://t.co/n205LjepSU",Neutral
492,Jaysheethji58,2019-10-05 18:39:40+00:00,0,Twitter for Android,"PM Modi attends Singapore-India Hackathon
https://t.co/kG5wWncU8D

via NaMo App",Neutral
493,puru_darshankar,2019-10-05 17:02:23+00:00,2,Twitter Web App,"Great Hackathon !! Students from Singapore and India campuses enjoyed a day of friendly competition!
So glad! I mentored WINNING team that received first prize from our PM MODIJI ! 
SINGAPORE INDIA 2019 HACKATHON !!! https://t.co/FnJjKr8spj",Positive
494,Bjpnavinsharma,2019-10-05 14:04:18+00:00,0,Twitter for Android,"PM Modi attends Singapore-India Hackathon
https://t.co/cVDu2W4ce3 via NaMo App https://t.co/hDCl7q4Xlx",Neutral
495,AlongImna,2019-10-05 13:00:00+00:00,10,TweetDeck,"Speaking at the Singapore–India Hackathon Event at IIT Madras, PM Narendra Modi said programmes like AIM NITI Aayog, PM Research Fellowships and Start-up India Abhiyan are the foundation for 21st century India.

https://t.co/ZBOH0Il8uT",Positive
496,ReallGupta,2019-10-05 01:39:04+00:00,0,Twitter for Android,"Why PM Modi liked one specific camera at Singapore-India Hackathon
https://t.co/aAUYERvNT1 https://t.co/ArsLXdLF86",Positive
497,ThinkRiseGlobal,2019-10-04 22:20:07+00:00,1,Hootsuite Inc.,"Join us for Barclays #DerivHack2019 on Oct 16/17 in #London, #NewYork and #Singapore, &amp; work with peers &amp; thought leaders, in conjunction with @ISDA. 

To find out more about our #hackathon and register a team, visit https://t.co/X2zYeNmeYG

#HomeofFinTech #Innovation #FinTech https://t.co/CaoNWFJAGa",Positive
498,ThinkRiseGlobal,2019-10-04 15:25:13+00:00,0,Hootsuite Inc.,"Join us for Barclays #DerivHack2019 on Oct 16/17 in #London, #NewYork and #Singapore, &amp; work with peers &amp; thought leaders, in conjunction with @ISDA. 

To find out more about our #hackathon and register a team, visit https://t.co/X2zYeNmeYG

#HomeofFinTech #Innovation #FinTech https://t.co/6xDcvKQXik",Positive
