,Sentiment Score
469,Positive
470,Positive
471,Positive
472,Positive
473,Positive
474,Neutral
475,Neutral
476,Positive
477,Positive
478,Negative
479,Negative
480,Neutral
481,Positive
482,Neutral
483,Neutral
484,Positive
485,Neutral
486,Neutral
487,Neutral
488,Positive
489,Positive
490,Neutral
491,Neutral
