,Post,preprocess_txt,total_len,pos_count,neg_count,sentiment
29,"I am glad to announce that my team is one of the top teams joining Dell technologies hackathon ""Hacktrick22"".
    I am really looking forward to working with my team Ranime Emam Aya Abdulwahab Monica Ehab Aya Elsackaan
    #Hacktrick
    #DellTechHackathon","['glad', 'announce', 'team', 'one', 'top', 'team', 'joining', 'dell', 'technology', 'hackathon', 'hacktrick', 'really', 'looking', 'forward', 'working', 'team', 'ranime', 'emam', 'aya', 'abdulwahab', 'monica', 'ehab', 'aya', 'elsackaan', 'hacktrick', 'delltechhackathon']",26,2,0,0.08
30,"Today I’ve received this awesome package from Dell Technologies for participating in Dell’s Hacktrick hackathon that kicked off last Friday 🤩
    My team Ahmed Omar Ahmed Essam Ahmed Khaled was selected as one of the top 39 participating teams in the students track🔥🔥

    #Hacktrick
    #DellTeckHackathon","['today', 'received', 'awesome', 'package', 'dell', 'technology', 'participating', 'dell', 'hacktrick', 'hackathon', 'kicked', 'last', 'friday', 'team', 'ahmed', 'omar', 'ahmed', 'essam', 'ahmed', 'khaled', 'selected', 'one', 'top', 'participating', 'team', 'student', 'track', 'hacktrick', 'dellteckhackathon']",29,2,0,0.07
31,"Last Thursday I joined Dell Hack2Hire hackathon and experienced a lot from it. Although our group did not manage to completely finish our project, but we definitely learnt a lot from it, from the ideation phase, design process, task delegations and the execution. Congratulations to the winning teams and the ones who got the internship placement, especially my team members Muhammad Syaamil Faiq, Alif Fahmi Mazli and Ain Zaffry who managed to secure the internship placement. Looking forward to learn more in the future🤗 Kudos to team Logos.","['last', 'thursday', 'joined', 'dell', 'hack', 'hire', 'hackathon', 'experienced', 'lot', 'although', 'group', 'manage', 'completely', 'finish', 'project', 'definitely', 'learnt', 'lot', 'ideation', 'phase', 'design', 'process', 'task', 'delegation', 'execution', 'congratulation', 'winning', 'team', 'one', 'got', 'internship', 'placement', 'especially', 'team', 'member', 'muhammad', 'syaamil', 'faiq', 'alif', 'fahmi', 'mazli', 'zaffry', 'managed', 'secure', 'internship', 'placement', 'looking', 'forward', 'learn', 'future', 'kudos', 'team', 'logo']",53,4,1,0.06
32,"I am excited to announce that my team has qualified as one of the top 66 teams out of 317 teams participating in the Hacktrick’22 Hackathon by Dell Technologies. 🎉
    Thanks, Dell Technologies for the amazing Giveaway ❤️
    Yusuf El Kilany Mina Magdy Michel Raouf Omar Moataz
    #Hacktrick #DellTechHackathon #HacktrickShirt #team #work","['excited', 'announce', 'team', 'qualified', 'one', 'top', 'team', 'team', 'participating', 'hacktrick', 'hackathon', 'dell', 'technology', 'thanks', 'dell', 'technology', 'amazing', 'giveaway', 'yusuf', 'el', 'kilany', 'mina', 'magdy', 'michel', 'raouf', 'omar', 'moataz', 'hacktrick', 'delltechhackathon', 'hacktrickshirt', 'team', 'work']",32,5,0,0.16
33,"It was an honour to be a participant in the Dell technologies hackathon ""Hacktrick 22""

    #delltechnologies #problemsolving #artficialintelligence #machinelearning #computervision #hackathon2022 #hacktick","['honour', 'participant', 'dell', 'technology', 'hackathon', 'hacktrick', 'delltechnologies', 'problemsolving', 'artficialintelligence', 'machinelearning', 'computervision', 'hackathon', 'hacktick']",13,0,0,0.0
34,"I am happy to share that my team “ I Have No Toe And I Must Go “ has ranked as one of the top 8 students’ teams out of 372 teams who applied in the Dell Technologies’ Hackathon Hacktrick’22 ❤️. I am really proud of my team and what we have achieved. We really did a great job. See you next year Insha’Allah at WP. But be careful because in this time we will have the Toe. 😉
    Abdullah Hesham Eiad Essam Omar Sawan Karim Badreldeen Omar Alaskndrani
    #Hacktrick #DellTechHackathon","['happy', 'share', 'team', 'toe', 'must', 'go', 'ranked', 'one', 'top', 'student', 'team', 'team', 'applied', 'dell', 'technology', 'hackathon', 'hacktrick', 'really', 'proud', 'team', 'achieved', 'really', 'great', 'job', 'see', 'next', 'year', 'insha', 'allah', 'wp', 'careful', 'time', 'toe', 'abdullah', 'hesham', 'eiad', 'essam', 'omar', 'sawan', 'karim', 'badreldeen', 'omar', 'alaskndrani', 'hacktrick', 'delltechhackathon']",45,4,0,0.09
35,"It was a great experience to participate in this year's Dell HackTrick Hackathon and rank the 17th out of 39 Student teams and 27 Working professionals who qualified for the leaderboard phase out of 372 teams that applied. 🔥
    Special thanks to the mentors Omar Nael and Ismail Shaheen, they really helped us and made a huge effort to help everyone.❤️
    Thanks to all who worked on this amazing event 😄
    Thanks Dell Technologies ❤️
    Happy to work with you Michael Ehab , Sohaila Diab, Youssef Soultan ❤️
    It was a great journey, see you next year 💪🏻
    #Hacktrick #DellTechHackathon","['great', 'experience', 'participate', 'year', 'dell', 'hacktrick', 'hackathon', 'rank', 'th', 'student', 'team', 'working', 'professional', 'qualified', 'leaderboard', 'phase', 'team', 'applied', 'special', 'thanks', 'mentor', 'omar', 'nael', 'ismail', 'shaheen', 'really', 'helped', 'u', 'made', 'huge', 'effort', 'help', 'everyone', 'thanks', 'worked', 'amazing', 'event', 'thanks', 'dell', 'technology', 'happy', 'work', 'michael', 'ehab', 'sohaila', 'diab', 'youssef', 'soultan', 'great', 'journey', 'see', 'next', 'year', 'hacktrick', 'delltechhackathon']",55,8,0,0.15
36,"Celebrating our first Hackathon in Dell Technologies 🎉🎉.

    Team MSG is back in action. With the same members, same team but a different Hackathon, we manage to come up the 3rd place 🥉.

    The UIUX Hackathon is something new to us, where we were asked to design and a propose UI UX solution for the current dell.com. After nights of discussion and brainstorming, we came up with the idea of having a UI that implements the minimalistic design with small changes in the web page flow. We also research on the latest UI trend that can be implemented in our design.

    On the presentation day, I am stunned by the other teams with their presentation. Their ideas are innovative and their presentation skills are amazing. Congrats to ZHE SWIEN L., Teoh Su Theng, and their team for winning first place 🥇 and to Jacky Voon, Lau Kah Hou and the rest of team Peanuts for winning second place 🥈.   

    I’ve learned so much throughout the process, including on how to design an aesthetic UI, how UI design is related to human cognitive efforts, and many more. I really like the part where we receive feedbacks from the judges on our presentation. This helps us to acknowledge our weaknesses that can be improved on.

    Thanks to the TIDE Hackathon committee for organizing such an amazing hackathon. Last but not least, once again thank you to my teammates Pang Shian Wei and Guo Xuan Low for the outstanding effort in making this a success.

    #iwork4dell #delltechnologies #uiuxdesign #TideHackathon #hackathon","['celebrating', 'first', 'hackathon', 'dell', 'technology', 'team', 'msg', 'back', 'action', 'member', 'team', 'different', 'hackathon', 'manage', 'come', 'rd', 'place', 'uiux', 'hackathon', 'something', 'new', 'u', 'asked', 'design', 'propose', 'ui', 'ux', 'solution', 'current', 'dell', 'com', 'night', 'discussion', 'brainstorming', 'came', 'idea', 'ui', 'implement', 'minimalistic', 'design', 'small', 'change', 'web', 'page', 'flow', 'also', 'research', 'latest', 'ui', 'trend', 'implemented', 'design', 'presentation', 'day', 'stunned', 'team', 'presentation', 'idea', 'innovative', 'presentation', 'skill', 'amazing', 'congrats', 'zhe', 'swien', 'l', 'teoh', 'su', 'theng', 'team', 'winning', 'first', 'place', 'jacky', 'voon', 'lau', 'kah', 'hou', 'rest', 'team', 'peanut', 'winning', 'second', 'place', 'learned', 'much', 'throughout', 'process', 'including', 'design', 'aesthetic', 'ui', 'ui', 'design', 'related', 'human', 'cognitive', 'effort', 'many', 'really', 'like', 'part', 'receive', 'feedback', 'judge', 'presentation', 'help', 'u', 'acknowledge', 'weakness', 'improved', 'thanks', 'tide', 'hackathon', 'committee', 'organizing', 'amazing', 'hackathon', 'last', 'least', 'thank', 'teammate', 'pang', 'shian', 'wei', 'guo', 'xuan', 'low', 'outstanding', 'effort', 'making', 'success', 'iwork', 'dell', 'delltechnologies', 'uiuxdesign', 'tidehackathon', 'hackathon']",138,12,1,0.08
37,"This year, we participated in Dell’s AI Hackathon “Hacktrick 2022” (Working Professionals track) as “The DS Squad” team. Out of 372 teams that applied, our team qualified to the leaderboard phase, which consisted of 39 Student teams and 27 Working professionals. Out of 27 professional teams, we earned 4th place in the leaderboard phase and qualified to Round of 8. After a challenging match with AI MasterMind, we lost round 8. However, we won the experience and something else I will be announcing soon 😉.

    Many thanks to Mahmoud Ahmed and Khaled ElNaggar for the great effort you put and the late hours you worked after working hours to achieve this. I am proud we made it to the top 8 teams. Hope we win next year InshaAllah.

    #dell #delltechnologies #hacktrick #artficialintelligence #ai #reinforcementlearning #machinelearning","['year', 'participated', 'dell', 'ai', 'hackathon', 'hacktrick', 'working', 'professional', 'track', 'd', 'squad', 'team', 'team', 'applied', 'team', 'qualified', 'leaderboard', 'phase', 'consisted', 'student', 'team', 'working', 'professional', 'professional', 'team', 'earned', 'th', 'place', 'leaderboard', 'phase', 'qualified', 'round', 'challenging', 'match', 'ai', 'mastermind', 'lost', 'round', 'however', 'experience', 'something', 'else', 'announcing', 'soon', 'many', 'thanks', 'mahmoud', 'ahmed', 'khaled', 'elnaggar', 'great', 'effort', 'put', 'late', 'hour', 'worked', 'working', 'hour', 'achieve', 'proud', 'made', 'top', 'team', 'hope', 'win', 'next', 'year', 'inshaallah', 'dell', 'delltechnologies', 'hacktrick', 'artficialintelligence', 'ai', 'reinforcementlearning', 'machinelearning']",75,7,2,0.07
38,"It's so pleasure to share that my SQUAD ranked first in Dell Technologies Hacktrick hackathon!
    It’s about cooperative human-AI task performance to help people thrive in the digital age. 
    Thanks Dell for the impressive experience.
    #Hacktrick #delltechnologies
    ","['pleasure', 'share', 'squad', 'ranked', 'first', 'dell', 'technology', 'hacktrick', 'hackathon', 'cooperative', 'human', 'ai', 'task', 'performance', 'help', 'people', 'thrive', 'digital', 'age', 'thanks', 'dell', 'impressive', 'experience', 'hacktrick', 'delltechnologies']",25,4,0,0.16
